date,marketing_score,competition_index,customer_satisfaction,purchasing_power_index,weather_condition,store_traffic,public_transport,jPhone_Pro_revenue,Kaggle_Pixel_5_revenue,Planet_SX_revenue,tech_event_Major Launch,tech_event_Tech Show,day_of_week,month,year,city_Bordeaux,city_Fort_de_France,city_Lille,city_Lyon,city_Marseille,city_Paris,city_Rennes,city_Strasbourg,5g_phase_Early-5G,5g_phase_Mature-5G,5g_phase_Mid-5G,5g_phase_Pre-5G
2019-01-01,100.0,50.0,85.0,120.0,0,0.02,1,122182.54,68709.2,36032.11,False,False,1,1,2019,False,False,False,False,False,True,False,False,False,False,False,True
2019-01-02,100.09,50.52,85.0,120.09,1,1.08,0,146473.79,73935.56,44180.21,False,False,2,1,2019,False,False,False,False,False,True,False,False,False,False,False,True
2019-01-03,100.18,51.04,85.0,120.17,2,-0.24,2,129647.9,75375.54,41112.52,False,False,3,1,2019,False,False,False,False,False,True,False,False,False,False,False,True
2019-01-04,100.27,51.56,85.0,120.26,2,-0.13,3,137621.01,85213.0,46222.99,False,False,4,1,2019,False,False,False,False,False,True,False,False,False,False,False,True
2019-01-05,100.36,52.08,85.0,120.34,0,0.06,2,194936.87,89281.49,38312.08,False,False,5,1,2019,False,False,False,False,False,True,False,False,False,False,False,True
2019-01-06,100.45,52.59,85.01,120.43,0,0.31,0,159692.33,68666.87,46209.0,False,False,6,1,2019,False,False,False,False,False,True,False,False,False,False,False,True
2019-01-07,100.54,53.09,85.01,120.52,0,0.19,1,133499.36,65346.84,35926.48,False,False,7,1,2019,False,False,False,False,False,True,False,False,False,False,False,True
2019-01-08,100.72,53.58,85.01,120.6,1,-0.14,2,128878.93,76377.29,43472.31,False,False,8,1,2019,False,False,False,False,False,True,False,False,False,True,False,False
2019-01-09,100.9,54.07,85.01,120.69,2,0.86,3,133131.07,79023.39,40956.04,False,False,9,1,2019,False,False,False,False,False,True,False,False,False,False,False,True
2019-01-10,101.08,54.54,72.43,120.77,2,0.46,3,160624.65,64721.87,37547.14,False,False,10,1,2019,False,False,False,False,False,True,False,False,False,False,False,True
2019-01-11,101.26,55.01,85.01,120.86,0,0.12,0,123613.39,67129.73,41391.66,False,False,11,1,2019,False,False,False,False,False,True,False,False,False,True,False,False
2019-01-12,101.44,55.46,85.01,120.94,1,0.12,2,176097.81,100754.17,18288.84,False,False,12,1,2019,False,False,False,False,False,True,False,False,False,False,False,True
2019-01-13,101.62,55.9,85.01,121.03,1,0.54,1,70835.83,83758.28,18288.84,False,False,13,1,2019,False,False,False,False,False,True,False,False,False,False,False,True
2019-01-14,101.8,56.32,85.01,121.11,0,-0.22,1,129123.93,62586.14,40020.01,False,False,14,1,2019,False,False,False,False,False,True,False,False,False,False,False,True
2019-01-15,101.98,57.21,85.02,121.19,0,0.26,1,123180.86,73423.77,38832.44,False,False,15,1,2019,False,False,False,False,False,True,False,False,False,False,False,True
